Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,447,5517,287,17422,6979.73,55.257%,1.29257,333.83,0.22,264470.0
TOTAL,447,5517,287,17422,6979.73,55.257%,1.29257,333.83,0.22,264470.0
