Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,669,5535,287,17422,7130.09,67.414%,1.35230,258.79,0.23,195964.0
TOTAL,669,5535,287,17422,7130.09,67.414%,1.35230,258.79,0.23,195964.0
